AREA_TITLE,OCC_TITLE,A_MEAN
Texas,Database Architects,"139,570"
Texas,Data Scientists,"109,000"
Utah,Management Analysts,"86,780"
Utah,Financial and Investment Analysts,"99,050"
Utah,Database Administrators,"97,700"
Utah,Database Architects,"145,400"
Utah,Data Scientists,"101,780"
Vermont,Management Analysts,"125,240"
Vermont,Financial and Investment Analysts,"108,800"
Vermont,Database Administrators,"99,430"
Vermont,Database Architects,"152,540"
Vermont,Data Scientists,"124,430"
Virginia,Management Analysts,"80,272"
Virginia,Financial and Investment Analysts,"113,800"
Virginia,Database Administrators,"109,790"
Virginia,Database Architects,"143,300"
Virginia,Data Scientists,"139,080"
Washington,Management Analysts,"119,390"
Washington,Financial and Investment Analysts,"100,860"
Washington,Database Administrators,"116,710"
Washington,Database Architects,"154,430"
Washington,Data Scientists,"148,730"
West Virginia,Management Analysts,"93,020"
West Virginia,Financial and Investment Analysts,"74,500"
West Virginia,Database Administrators,"74,570"
West Virginia,Database Architects,"103,550"
West Virginia,Data Scientists,"94,330"
Wisconsin,Management Analysts,"109,660"
Wisconsin,Financial and Investment Analysts,"102,090"
Wisconsin,Database Administrators,"95,840"
Wisconsin,Database Architects,"130,180"
Wisconsin,Data Scientists,"105,250"
Wyoming,Management Analysts,"126,840"
Wyoming,Database Administrators,"82,620"
Wyoming,Database Architects,"61,130"
Wyoming,Data Scientists,"125,330"
